Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
126,75.00,0,1,1,0.596997542,1,0,0,0,1,0,0,5,2,2,1,0,0,0,1,0,1,0,0,1.08,
127,35.00,0,1,1,13.16938525,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0.24,100
128,60.00,1,2,1,0.579168114,1,0,0,0,0,1,0,2,1,1,1,1,1,0,0,1,1,0,0,19.2,99
129,27.00,1,2,0,3.60722846,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,25.2,92
130,18.00,0,1,1,10.36600097,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0.36,60
131,15.00,0,1,0,6.328160026,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,,
132,60.00,1,1,1,6.049507505,1,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,0,0,0,75.84,98
133,40.00,0,1,1,14.04338815,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,5.76,100
134,23.00,0,2,1,7.059191379,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,6.48,87
135,60.00,0,6,0,1.366744588,1,0,0,0,1,0,0,3,1,1,1,1,0,0,0,1,0,0,0,1.2,87
136,52.00,0,4,1,3.931868899,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,,
137,42.00,1,3,1,8.081848682,0,1,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,27.96,98
138,97.00,0,19,0,0.780641524,1,0,0,0,1,0,0,4,2,2,1,1,0,0,1,1,0,0,0,36.36,99
139,56.00,1,3,1,14.12540057,1,0,0,0,1,0,0,2,1,0,1,1,0,1,0,1,0,0,0,22.56,96
140,18.00,0,1,1,3.341491054,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,6,90
141,150.00,0,1,1,13.15179321,1,0,0,0,1,0,0,6,2,2,1,1,0,1,0,1,0,0,0,6.84,95
142,35.00,1,2,1,1.793328288,1,0,0,0,0,1,0,2,1,1,1,1,0,0,1,1,1,0,0,57.6,99
143,185.00,1,2,1,0.555017341,1,0,0,0,1,0,0,4,2,2,1,1,1,0,0,1,1,0,0,38.04,99
144,45.00,0,1,1,4.218147946,0,0,1,0,0,1,0,6,1,3,1,1,0,1,1,0,0,0,0,9.6,98
145,43.00,0,1,1,14.89858825,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,11.04,96
146,45.00,0,1,1,5.691745595,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,6.96,89
147,45.00,0,1,1,1.407702456,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,7.8,95
148,21.00,0,2,1,6.574133207,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,11.4,88
